18	6	E	-2.2192854617465788E8	200
emissionprobs	8	3	H3K4me1	0	0.0936922095321901
emissionprobs	8	3	H3K4me1	1	0.90630779046781
emissionprobs	8	4	H3K4me3	0	0.7112373482417736
emissionprobs	8	4	H3K4me3	1	0.2887626517582264
emissionprobs	8	5	H3K9me3	0	0.9868969570228877
emissionprobs	8	5	H3K9me3	1	0.013103042977112341
emissionprobs	9	0	H3K27ac	0	0.08383863997878852
emissionprobs	9	0	H3K27ac	1	0.9161613600212115
emissionprobs	9	1	H3K27me3	0	0.9965463652167362
emissionprobs	9	1	H3K27me3	1	0.00345363478326375
emissionprobs	9	2	H3K36me3	0	0.9820972283303383
emissionprobs	9	2	H3K36me3	1	0.017902771669661678
emissionprobs	9	3	H3K4me1	0	0.0801838753643266
emissionprobs	9	3	H3K4me1	1	0.9198161246356733
emissionprobs	9	4	H3K4me3	0	0.9389742405053303
emissionprobs	9	4	H3K4me3	1	0.06102575949466964
emissionprobs	9	5	H3K9me3	0	0.9934000201744749
emissionprobs	9	5	H3K9me3	1	0.00659997982552515
emissionprobs	10	0	H3K27ac	0	0.4982112188054595
emissionprobs	10	0	H3K27ac	1	0.5017887811945405
emissionprobs	10	1	H3K27me3	0	0.9970179046263095
emissionprobs	10	1	H3K27me3	1	0.0029820953736905504
emissionprobs	10	2	H3K36me3	0	0.9894661565643305
emissionprobs	10	2	H3K36me3	1	0.010533843435669554
emissionprobs	10	3	H3K4me1	0	0.8550607126947177
emissionprobs	10	3	H3K4me1	1	0.14493928730528224
emissionprobs	10	4	H3K4me3	0	0.9909938016573923
emissionprobs	10	4	H3K4me3	1	0.009006198342607656
emissionprobs	10	5	H3K9me3	0	0.9932613260094351
emissionprobs	10	5	H3K9me3	1	0.006738673990565066
emissionprobs	11	0	H3K27ac	0	0.9591359279195897
emissionprobs	11	0	H3K27ac	1	0.04086407208041034
emissionprobs	11	1	H3K27me3	0	0.9960212871308767
emissionprobs	11	1	H3K27me3	1	0.0039787128691234075
emissionprobs	11	2	H3K36me3	0	0.9898291450363594
emissionprobs	11	2	H3K36me3	1	0.010170854963640568
emissionprobs	11	3	H3K4me1	0	0.34134464872962106
emissionprobs	11	3	H3K4me1	1	0.6586553512703789
emissionprobs	11	4	H3K4me3	0	0.9947599723964237
emissionprobs	11	4	H3K4me3	1	0.005240027603576305
emissionprobs	11	5	H3K9me3	0	0.996384228359913
emissionprobs	11	5	H3K9me3	1	0.003615771640086989
emissionprobs	12	0	H3K27ac	0	0.9961944086575502
emissionprobs	12	0	H3K27ac	1	0.003805591342449813
emissionprobs	12	1	H3K27me3	0	0.9835952920621898
emissionprobs	12	1	H3K27me3	1	0.016404707937810223
emissionprobs	12	2	H3K36me3	0	0.9156378611313827
emissionprobs	12	2	H3K36me3	1	0.08436213886861724
emissionprobs	12	3	H3K4me1	0	0.9946634391588131
emissionprobs	12	3	H3K4me1	1	0.005336560841186999
emissionprobs	12	4	H3K4me3	0	0.9549162698233317
emissionprobs	12	4	H3K4me3	1	0.0450837301766684
emissionprobs	12	5	H3K9me3	0	0.22204525981438009
emissionprobs	12	5	H3K9me3	1	0.7779547401856199
emissionprobs	13	0	H3K27ac	0	0.9998906496602247
emissionprobs	13	0	H3K27ac	1	1.0935033977524181E-4
emissionprobs	13	1	H3K27me3	0	0.9987342222496426
emissionprobs	13	1	H3K27me3	1	0.00126577775035743
emissionprobs	13	2	H3K36me3	0	0.9998803728495956
emissionprobs	13	2	H3K36me3	1	1.1962715040423828E-4
emissionprobs	13	3	H3K4me1	0	0.9997608556584885
emissionprobs	13	3	H3K4me1	1	2.3914434151137736E-4
emissionprobs	13	4	H3K4me3	0	0.9994694130001681
emissionprobs	13	4	H3K4me3	1	5.305869998318799E-4
emissionprobs	13	5	H3K9me3	0	0.8905854959195362
emissionprobs	13	5	H3K9me3	1	0.1094145040804638
emissionprobs	14	0	H3K27ac	0	0.8646863567101836
emissionprobs	14	0	H3K27ac	1	0.13531364328981643
emissionprobs	14	1	H3K27me3	0	0.15227269428648543
emissionprobs	14	1	H3K27me3	1	0.8477273057135146
emissionprobs	14	2	H3K36me3	0	0.9797553435029787
emissionprobs	14	2	H3K36me3	1	0.020244656497021306
emissionprobs	14	3	H3K4me1	0	0.4171317236574797
emissionprobs	14	3	H3K4me1	1	0.5828682763425204
emissionprobs	14	4	H3K4me3	0	0.03622624382661332
emissionprobs	14	4	H3K4me3	1	0.9637737561733867
emissionprobs	14	5	H3K9me3	0	0.9487211457534191
emissionprobs	14	5	H3K9me3	1	0.0512788542465809
emissionprobs	15	0	H3K27ac	0	0.951126676924413
emissionprobs	15	0	H3K27ac	1	0.04887332307558697
emissionprobs	15	1	H3K27me3	0	0.2768312783190951
emissionprobs	15	1	H3K27me3	1	0.7231687216809048
emissionprobs	15	2	H3K36me3	0	0.9889427331441569
emissionprobs	15	2	H3K36me3	1	0.011057266855843004
emissionprobs	15	3	H3K4me1	0	0.28880604144845295
emissionprobs	15	3	H3K4me1	1	0.7111939585515471
emissionprobs	15	4	H3K4me3	0	0.9657687324301653
emissionprobs	15	4	H3K4me3	1	0.03423126756983473
emissionprobs	15	5	H3K9me3	0	0.9654897936937543
emissionprobs	15	5	H3K9me3	1	0.034510206306245676
emissionprobs	16	0	H3K27ac	0	0.9978943644137471
emissionprobs	16	0	H3K27ac	1	0.0021056355862528573
